#length of traj: 913.656
#time tx ty tz qx qy qz qw
1750956197.322812500 -3.0144682e-07 -5.20717567e-08 4.76426976e-07 0.999176666 0.000655752368 -0.0359920373 0.0187118287
1750956197.822812500 -0.00396431822 0.00110096102 -0.00107165954 0.999167923 0.000655583916 -0.0363736089 0.018438879
1750956198.322812500 -0.00636386036 2.05030957e-06 -0.00428168847 0.999177684 0.000884840834 -0.0361525904 0.0183347413
1750956198.822812500 -0.00465275956 -0.00109031701 -0.00811973571 0.999184092 0.000523695015 -0.0358308685 0.0186286237
1750956199.322812500 -0.00368935932 -0.00275367946 -0.00892862684 0.999167885 0.000826048493 -0.0362937994 0.0185907381
1750956199.822812500 -0.0034828502 -0.00313072118 -0.00609036203 0.999183754 0.0005592883 -0.0356376732 0.0190123324
1750956200.322812500 -0.0052664247 -0.00185458587 -0.00347907391 0.999154762 0.000926860211 -0.0366212489 0.0186490364
1750956200.822812500 -0.0056333686 -0.000482516948 -0.00389530158 0.999184792 0.000503470518 -0.0355806551 0.0190660546
1750956201.322812500 -0.00506619297 0.000209581741 -0.00526971365 0.999156627 0.0010976317 -0.0365324923 0.0187138196
1750956201.822812500 -0.00552908284 0.00109328818 -0.00734979149 0.999183362 0.000543982652 -0.0357348431 0.0188503211
1750956202.322812500 -0.00597357578 0.00217620261 -0.00811750422 0.99917273 0.000878731167 -0.0362146044 0.0184820667
1750956202.822812500 -0.00518806026 -0.000454651603 -0.00579487464 0.999184178 0.000840303043 -0.0358673982 0.018541881
1750956203.322812500 -0.00366327915 -0.00454696029 -0.00327733866 0.999174856 0.000709023332 -0.0358525946 0.0190707998
1750956203.822812500 -0.00484092885 -0.00527849406 -0.00182056736 0.999165874 0.000960155143 -0.0362039357 0.0188655804
1750956204.322812500 -0.00566386319 -0.00291780664 -0.00308452899 0.999174547 0.000645072834 -0.0356767607 0.0194159174
1750956204.822812500 -0.00735753909 -0.00093297936 -0.00312473643 0.999148592 0.00107395188 -0.0364931246 0.0192142856
1750956205.322812500 -0.00708293335 -0.000767050478 -0.00202282107 0.999163115 0.00059786533 -0.0358606277 0.0196653993
1750956205.822812500 -0.00261857433 -0.00118088144 -0.00154113904 0.998953867 7.0046862e-05 -0.0405543694 0.0211307743
1750956206.322812500 0.0657491007 0.0537674088 0.1012647 0.984769943 0.0253858371 0.171938163 0.00458122332
1750956206.820312500 -0.0855041841 0.0743618538 0.191078913 0.877520983 0.0109354218 0.479412161 -0.00114914508
1750956207.322812500 -0.163703789 0.107840086 0.168567893 0.841998074 0.00485558119 0.537349527 0.047656602
1750956207.820312500 -0.250545805 0.134152182 0.150007413 0.778445628 -0.021165749 0.6208057 0.0904140379
1750956208.322812500 -0.264898376 0.144097812 0.147491842 0.759379013 -0.0708675621 0.634128235 0.12728977
1750956208.815312500 -0.194665202 0.139332583 0.0842034663 0.603611568 0.0515090198 0.786187802 0.122100928
1750956209.327812500 -0.157123388 0.313755029 0.545160667 0.553873363 -0.0478881208 0.778312891 0.291821981
1750956209.825312500 0.0315601847 0.375694906 0.929015047 0.566046948 -0.275857701 0.662596251 0.405536176
1750956210.312812500 0.378807412 0.194300827 0.994614976 0.399746139 -0.571929786 0.143821079 0.701722767
1750956210.825312500 0.428481541 -0.021145623 1.0186498 0.29643964 -0.661921099 -0.0449027278 0.686999086
1750956211.320312500 0.341074892 -0.0255660312 1.04653288 0.285018561 -0.712668066 -0.186540229 0.613246599
1750956211.820312500 0.321261268 -0.0941443806 1.13141862 0.0390558063 -0.768768378 -0.135885087 0.623702708
1750956212.325312500 0.353158711 -0.217118567 1.05375931 -0.137304472 -0.71174027 -0.187649779 0.66284299
1750956212.820312500 0.322888181 -0.244057553 1.08708121 -0.23389885 -0.706421473 -0.199378809 0.637579894
1750956213.322812500 0.119617155 -0.241584462 1.03148245 -0.398644962 -0.583319282 -0.461791156 0.536255291
1750956213.822812500 -0.246028067 0.00727092008 1.03728513 0.602835492 0.353687406 0.645450261 -0.30803985
1750956214.322812500 -0.383523059 0.361436245 1.08928868 0.735572444 0.0865068795 0.671434469 0.0250098841
1750956214.820312500 -0.316072554 0.38132168 1.17719252 0.771354767 -0.0255594728 0.63270438 0.063590134
