#length of traj: 452.377
#time tx ty tz qx qy qz qw
1750957260.662812500 -5.03706456e-07 1.41927797e-06 1.74151057e-06 0.997823397 0.00211563284 -0.0377457487 0.0540300887
1750957261.162812500 -0.00205657391 0.00405231777 0.000142690745 0.997808984 0.00151527413 -0.0375823691 0.0544288572
1750957261.662812500 -0.00232312083 0.00714950571 -0.00252499281 0.997817483 0.00206636519 -0.0376403341 0.0542144459
1750957262.162812500 -0.00136111101 0.00976213137 -0.00600775999 0.997839499 0.00167632551 -0.0376334522 0.0538260893
1750957262.662812500 -0.000667737193 0.0104604915 -0.00562899177 0.997842899 0.00174265623 -0.0374797302 0.0538681863
1750957263.162812500 0.000570217342 0.00769156395 -0.00305158799 0.997833891 0.00182199775 -0.0377200109 0.0538647148
1750957263.662812500 0.00121235002 0.00488207735 -0.00214202519 0.997823434 0.00161920128 -0.0372355692 0.0543993093
1750957264.162812500 0.000524406338 0.00466064021 -0.00263595627 0.997814276 0.00200531048 -0.0377944707 0.0541685153
1750957264.662812500 0.00167634231 0.0066740745 -0.00324307579 0.9978104 0.00132756898 -0.0370655702 0.0547611799
1750957265.162812500 0.00130148824 0.00700030288 -0.00158066245 0.997790013 0.00202776425 -0.0379327326 0.0545168437
1750957265.662812500 0.00132530408 0.00595378157 -0.00193090877 0.997782795 0.00143459711 -0.037437876 0.0550076447
1750957266.162812500 0.000817147758 0.00626707197 -0.00309412978 0.997795473 0.00197764186 -0.0377137631 0.0545706412
1750957266.662812500 0.000655901119 0.00708459525 -0.00400513432 0.997795147 0.00157869003 -0.0377932249 0.0545346245
1750957267.162812500 0.00354415672 0.00749524202 -0.00330509549 0.997781244 0.00182814186 -0.0381817108 0.0545105915
1750957267.662812500 0.00575615914 -0.01062943 0.0915416637 0.991139346 0.0233810686 0.121349371 -0.0486872901
1750957268.157812500 -0.130227695 0.0878925595 0.172764093 0.879622787 0.0557967077 0.471989977 0.0193891935
1750957268.662812500 -0.143443884 0.0655255582 0.177391337 0.870598463 0.0442002939 0.490003801 0.000961550434
1750957269.162812500 -0.141720595 0.0622814079 0.18485314 0.870723072 0.0495073221 0.48924829 -0.00514467725
1750957269.662812500 -0.135607513 0.0606632439 0.188297734 0.8762891 0.0584204388 0.478109733 -0.0107493642
1750957270.162812500 -0.143304927 0.0663704151 0.187693106 0.872775457 0.0808021889 0.481100727 -0.0166162032
1750957270.662812500 -0.0900008249 0.0716999672 0.149345285 0.69938246 0.120971654 0.704271505 0.0152210425
1750957271.152812500 -0.0025588895 0.0159022042 0.417765836 0.52094546 0.220207205 0.823479187 -0.0447955814
1750957271.665312500 0.0261676606 0.0233854057 0.873566814 0.58046228 0.1795745 0.789537481 -0.0862966226
1750957272.162812500 0.195875823 0.276541015 1.05845778 0.721411383 0.0708000536 0.62183058 0.296445102
1750957272.660312500 0.290869324 0.195957832 1.02182721 0.692062529 0.0330416957 0.528086971 0.491000869
1750957273.165312500 0.245113124 0.172895834 1.03084042 0.682626566 -0.151544577 0.663731296 0.265548451
1750957273.662812500 0.190987172 0.0666378564 1.08596856 0.73348356 -0.0974020009 0.654751241 0.154322809
1750957274.162812500 0.175662926 0.0141048396 1.0909669 0.739832722 -0.0477860697 0.66240674 0.107616659
1750957274.662812500 0.190509292 -0.0164001311 1.07770536 0.744449759 -0.0364700327 0.663607108 0.0639538934
1750957275.162812500 0.245826597 0.0242537583 1.14161087 0.752992147 -0.0132490244 0.645669621 0.126245917
1750957275.662812500 0.204898597 -0.113415423 1.15150527 0.759007492 0.0698353459 0.646894103 -0.0236362305
1750957276.162812500 0.267202422 -0.0920017608 1.12333897 0.767255333 0.114960809 0.626258483 -0.0768347491
1750957276.662812500 0.512630745 0.0639886433 1.12017346 0.77474596 0.151755138 0.609856693 -0.0693822062
1750957277.162812500 0.979839599 0.136772587 1.10940299 0.754691053 0.190316122 0.619567684 -0.101769708
1750957277.662812500 1.50631474 0.323879894 1.10369417 0.751472222 0.153948485 0.636932603 -0.076851956
1750957278.162812500 2.05514637 0.454362146 1.09766411 0.74919339 0.107978967 0.652144108 -0.0419269546
1750957278.660312500 2.63930017 0.629740291 1.09890324 0.756806582 0.0893583652 0.646586329 -0.0344238142
1750957279.162812500 3.21691071 0.769221064 1.06932422 0.740080734 0.0799689394 0.667417191 -0.0209706635
1750957279.662812500 3.79034338 0.887620321 1.04094693 0.715457596 0.134144816 0.68136658 -0.0765844681
1750957280.160312500 4.32834081 1.0549443 1.02567794 0.71114525 0.0829112443 0.697091836 -0.0382247601
1750957280.662812500 4.86362161 1.16306882 1.02891199 0.727616483 0.0631991023 0.682911002 -0.0145839085
1750957281.162812500 5.40339049 1.29463803 1.04709243 0.740128672 -0.0806379254 0.65543597 0.126928182
1750957281.662812500 5.90486514 1.18831821 1.06513287 0.753988206 -0.109800773 0.633606188 0.134122233
1750957282.162812500 6.428445 1.06199794 1.07613683 0.749053198 -0.110972926 0.639612999 0.13228578
1750957282.662812500 6.91039395 0.842399899 1.07196258 0.741766564 -0.10119183 0.652983981 0.11469306
1750957283.162812500 7.43042653 0.687103306 1.07372335 0.74648429 -0.101473927 0.642879685 0.138455615
1750957283.662812500 7.91688911 0.481419857 1.06010894 0.728766867 -0.149784334 0.643739367 0.179061819
1750957284.162812500 8.37236474 0.219870665 1.04166033 0.729277535 -0.133277778 0.644288598 0.187839062
1750957284.662812500 8.86684459 -0.0253455157 1.04732513 0.6905134 -0.275286959 0.601802209 0.291963074
1750957285.162812500 9.23689714 -0.426034656 1.06367662 0.709361968 -0.270686428 0.592395122 0.269448466
1750957285.662812500 9.65720149 -0.796772293 1.08126432 0.706132004 -0.292596036 0.571749242 0.298107292
1750957286.162812500 9.97482933 -1.25902099 1.09589215 0.724005081 -0.252677102 0.588340604 0.256566285
1750957286.662812500 10.3895352 -1.64979312 1.08659787 0.720480124 -0.239690723 0.595965029 0.261309074
1750957287.162812500 10.791849 -2.06767993 1.07448678 0.721476146 -0.205513721 0.614663275 0.243773133
1750957287.662812500 11.2528647 -2.41832273 1.07399662 0.736839327 -0.1538913 0.630900874 0.18801426
1750957288.160312500 11.7580818 -2.71685915 1.06385566 0.73602635 -0.125588721 0.643123813 0.169954245
1750957288.662812500 12.2875655 -2.97831855 1.06520208 0.750134693 -0.0260013352 0.655905875 0.0800584551
1750957289.160312500 12.8648072 -3.11301412 1.04799098 0.741165727 -0.0272176886 0.665325977 0.0852872016
1750957289.662812500 13.4607116 -3.2615005 1.04568514 0.744191514 0.0608125838 0.665187418 0.00255316479
1750957290.162812500 14.0658927 -3.2148897 1.03653867 0.736933631 0.0150573438 0.672492565 0.0667521557
