#length of traj: 447.668
#time tx ty tz qx qy qz qw
1750350541.357812500 -5.27818497e-07 3.27269422e-07 8.55089032e-08 0.999546108 0.000367570646 -0.0257356232 0.015656332
1750350541.855312500 -0.00262623336 0.00175943661 0.00227231913 0.999548518 -0.000145440428 -0.0256989235 0.0155661229
1750350542.355312500 -0.00239702604 0.00175307321 0.00143428992 0.999553434 -0.000105356559 -0.0255052636 0.0155693174
1750350542.855312500 -0.000405158225 9.77456482e-05 -0.001137624 0.999543023 2.90842866e-05 -0.0260387436 0.0153534295
1750350543.357812500 0.00128822257 -0.00366760648 -0.00411411329 0.99955062 -0.00024202618 -0.0252900266 0.0160908147
1750350543.855312500 0.000498484891 -0.00603776955 -0.0044030312 0.999530941 0.000171735117 -0.0261732569 0.0159006082
1750350544.355312500 -9.03999895e-05 -0.0060996323 -0.00581213764 0.999543016 -0.000257499006 -0.0252224385 0.0166589765
1750350544.855312500 -0.00162797978 -0.0038060972 -0.0060287679 0.999534885 0.000199911457 -0.0259951016 0.0159445423
1750350545.355312500 -0.000949406199 -0.00150816185 -0.00563559956 0.999542178 -0.000267203187 -0.0254671528 0.0163336498
1750350545.855312500 0.000240513958 0.000556976596 -0.00398754446 0.999542558 0.00026764224 -0.02592181 0.0155776659
1750350546.355312500 0.000986456262 0.00187319256 -0.00203142945 0.999546862 -0.000223098284 -0.0257333681 0.0156145976
1750350546.857812500 0.000390290457 0.000331235872 -0.00030374385 0.999545623 3.90618079e-05 -0.0257831857 0.0156132283
1750350547.355312500 -8.47105274e-05 -0.00327833929 0.00198816355 0.999536313 -2.86791888e-05 -0.0259810593 0.0158789888
1750350547.855312500 0.00158277707 -0.00681997176 0.00359596626 0.999509516 -4.71727215e-05 -0.0264695553 0.0167358396
1750350548.357812500 -0.0469232208 0.038304095 0.0495102716 0.995092949 0.0691060278 0.0680592978 0.0195528194
1750350548.847812500 -0.22050378 0.0790589789 0.179432065 0.891024436 0.132237906 0.431388634 -0.0499243203
1750350549.360312500 -0.330529559 0.0993568791 0.160982509 0.800713428 0.113676146 0.58718967 -0.0338235495
1750350549.857812500 -0.356270105 0.0994950727 0.161861309 0.779265099 0.131227823 0.61143986 -0.040822327
1750350550.355312500 -0.334679652 0.0963305868 0.169933933 0.77253939 0.202657644 0.596599482 -0.078624599
1750350550.855312500 -0.159181855 0.209560419 0.120795835 0.523853277 0.202254482 0.825004886 -0.0635437361
1750350551.350312500 -0.0850678991 0.295040631 0.850115037 0.615268981 0.182571288 0.766663546 0.0184068724
1750350551.857812500 0.0378794792 0.469270358 0.95612991 0.653005931 0.0352765441 0.755536201 0.0387797479
1750350552.355312500 0.53845015 0.676286794 0.959466998 0.61803372 -0.180928365 0.406951221 0.647834818
1750350552.850312500 0.558851886 0.604496263 1.02802376 0.664360391 -0.263925439 0.395007553 0.57700751
1750350553.362812500 0.531838768 0.559302851 1.09416779 0.708902943 -0.326600023 0.358496849 0.512122106
1750350553.852812500 0.503208343 0.517938227 1.12796517 0.661677322 -0.470645267 0.423548531 0.401600293
1750350554.357812500 0.508244843 0.509829928 1.11453356 0.642771688 -0.439645481 0.469044501 0.416597724
1750350554.857812500 0.466206557 0.498052558 1.15632378 0.658022877 -0.39359416 0.522938546 0.372323527
1750350555.357812500 0.434788262 0.486298097 1.14757021 0.682252359 -0.380733281 0.525265843 0.337149347
1750350555.857812500 0.395864391 0.460847911 1.15668081 0.68408414 -0.386415254 0.533997883 0.312343404
1750350556.357812500 0.395250127 0.461509214 1.11249947 0.680829507 -0.354246803 0.535050441 0.353130868
1750350556.855312500 0.398794775 0.359942002 1.08021408 0.705766509 -0.282237673 0.594461569 0.262394691
1750350557.357812500 0.701044794 0.16198315 1.09713872 0.753838322 -0.165926433 0.611780472 0.172976464
1750350557.857812500 1.13589028 -0.12812698 1.13699727 0.798150578 -0.135916467 0.579477951 0.0932076857
1750350558.355312500 1.63720746 -0.284958689 1.112902 0.783985988 -0.0506462213 0.617641864 0.0363243479
1750350558.855312500 2.18754258 -0.434174047 1.07285185 0.758476915 -0.0613425649 0.645936131 0.0609620678
1750350559.357812500 2.79177545 -0.557329727 1.04182906 0.738418467 -0.0693564062 0.6649928 0.0878204564
1750350559.855312500 3.41778869 -0.704940819 1.03001263 0.726986963 -0.130949238 0.657377773 0.148985626
1750350560.355312500 4.00744406 -0.943110643 1.05648555 0.755659769 -0.0722619367 0.644227021 0.0934241463
1750350560.857812500 4.63786981 -1.13346438 1.01879311 0.741561279 -0.097328792 0.655971211 0.101566464
1750350561.355312500 5.29875592 -1.3220472 1.01434078 0.742875093 -0.0589148097 0.662154915 0.0788448514
1750350561.857812500 5.97810944 -1.48146448 1.02260209 0.734852398 -0.12171474 0.656208616 0.12069684
1750350562.355312500 6.61676269 -1.66006324 1.03006302 0.746397506 -0.0642255573 0.653886461 0.105822196
1750350562.857812500 7.27739499 -1.82964329 1.02830636 0.735430408 -0.119633996 0.656147288 0.119584939
1750350563.355312500 7.9407604 -2.03999031 1.02960141 0.741666265 -0.0829873092 0.655322943 0.116602303
1750350563.857812500 8.62362083 -2.25453224 1.02112965 0.719878134 -0.157940833 0.654190253 0.169897846
1750350564.355312500 9.25659827 -2.52758043 1.02822657 0.730440838 -0.125851977 0.654556445 0.148907091
1750350564.857812500 9.89937953 -2.74615361 1.02006515 0.722699359 -0.130074623 0.661756932 0.151208439
1750350565.355312500 10.5500536 -2.94822553 1.02465104 0.747016287 -0.0510895062 0.656892616 0.0885924353
1750350565.857812500 11.2417199 -3.04466812 1.03305356 0.744858851 -0.0914091105 0.651454822 0.111518079
1750350566.355312500 11.9036813 -3.18930729 1.02877889 0.742066548 -0.0891878839 0.658424207 0.0886584674
1750350566.857812500 12.579514 -3.33823737 1.040081 0.732423601 -0.157226557 0.644140596 0.154655653
1750350567.357812500 13.2093953 -3.62889101 1.03187015 0.72682967 -0.164540443 0.652369922 0.138052736
1750350567.855312500 13.8734562 -3.90211831 1.03716334 0.712189833 -0.227947333 0.622601099 0.230637219
1750350568.357812500 14.4165613 -4.30321163 1.03907743 0.726803597 -0.190268178 0.636099685 0.17587422
1750350568.855312500 15.0091651 -4.64476631 1.05135647 0.736664247 -0.19683178 0.614903417 0.201188532
1750350569.357812500 15.5754529 -5.03089695 1.04867864 0.731197584 -0.203159713 0.623583031 0.187671061
1750350569.855312500 16.1758597 -5.36448127 1.04882353 0.710271412 -0.248057062 0.608524684 0.252348814
1750350570.357812500 16.7013678 -5.79736486 1.05498735 0.729118795 -0.204271264 0.620389072 0.204392841
1750350570.855312500 17.3066613 -6.11746547 1.06784443 0.723820986 -0.235183337 0.604433094 0.235441316
1750350571.357812500 17.8505042 -6.51388347 1.05938976 0.727175882 -0.199953959 0.621964582 0.210698145
1750350571.855312500 18.4618143 -6.87605155 1.0677029 0.731856844 -0.214161087 0.611979329 0.209766276
1750350572.357812500 19.0256908 -7.29654331 1.05759139 0.714773105 -0.222105113 0.623064722 0.227066244
1750350572.855312500 19.589649 -7.70494552 1.05828299 0.704148909 -0.26820073 0.612633702 0.238584637
1750350573.357812500 20.0778357 -8.1863408 1.05566887 0.699558439 -0.273884779 0.603162378 0.267955713
1750350573.855312500 20.5663838 -8.64669193 1.05158967 0.693679713 -0.285594199 0.603562176 0.270105738
1750350574.357812500 21.0111953 -9.14172281 1.04442431 0.689607742 -0.285041012 0.597417222 0.293743844
1750350574.855312500 21.4481561 -9.62055205 1.0554056 0.711913172 -0.25136988 0.609612781 0.241588652
1750350575.357812500 21.8937128 -10.0806752 1.04739477 0.71372913 -0.238559787 0.610272375 0.247482494
1750350575.855312500 22.3680794 -10.4815028 1.045772 0.722475196 -0.196558431 0.623805117 0.224190877
1750350576.357812500 22.8623374 -10.8586497 1.02866273 0.718490201 -0.157157708 0.645512554 0.205880615
1750350576.855312500 23.3821732 -11.1648654 1.04397239 0.742429802 -0.0377063341 0.664418818 0.0769665872
1750350577.357812500 23.9845443 -11.3010864 1.03854499 0.740704039 0.0406670552 0.670596737 0.00193238654
1750350577.855312500 24.5866329 -11.324756 1.0386937 0.731667069 0.133098523 0.661480283 -0.0969119093
1750350578.357812500 25.1565753 -11.1957494 1.03848881 0.736137261 0.11885968 0.661319591 -0.0814291591
1750350578.855312500 25.6981049 -11.0906279 1.04378787 0.748056487 0.0522817578 0.660060709 -0.0446986644
1750350579.355312500 26.3012855 -10.9516597 1.07467499 0.760970209 -0.121951977 0.621982056 0.138529342
1750350579.857812500 26.8459034 -11.1254307 1.06074165 0.731818364 -0.167305742 0.640982291 0.159976167
1750350580.355312500 27.3962002 -11.3322755 1.05618029 0.726985943 -0.180082966 0.636211034 0.18519472
1750350580.857812500 27.9061121 -11.5593668 1.04858519 0.696113751 -0.228617412 0.634704513 0.245580753
1750350581.355312500 28.55168 -11.6343533 1.02411984 0.585261354 -0.398582697 0.562182323 0.427261064
1750350581.857812500 28.9685599 -11.8215469 1.01833412 0.599855782 -0.395018048 0.513350141 0.469686506
1750350582.355312500 29.2123604 -12.1464095 1.03047709 0.729697263 -0.127579601 0.648795297 0.174155139
1750350582.857812500 29.7578528 -12.389658 1.02901931 0.745788693 -0.0145642954 0.665196974 0.0331676535
1750350583.355312500 30.3424722 -12.5147861 1.0277073 0.743169071 0.0510939576 0.665158143 -0.0515148858
1750350583.857812500 30.9362804 -12.4722923 1.03331361 0.74601068 -0.00134175848 0.665132511 0.0326344676
1750350584.355312500 31.5010609 -12.5392192 1.05052099 0.755149955 0.0470550336 0.653239206 -0.0285115752
1750350584.855312500 32.0731761 -12.4496827 1.06698379 0.762104625 0.0327724397 0.646270778 0.0213679351
1750350585.355312500 32.6388124 -12.4639467 1.07310017 0.750895546 0.0584507273 0.657536519 -0.0196244318
1750350585.855312500 33.1968942 -12.3777914 1.07121973 0.744403752 0.0684577667 0.662577764 -0.0465542135
1750350586.357812500 33.7633833 -12.3146477 1.04477406 0.731557848 0.0596745834 0.678235751 -0.0354728778
1750350586.855312500 34.3433297 -12.2214359 1.01762327 0.722892511 0.0739878475 0.683837237 -0.0657179433
1750350587.357812500 34.9147738 -12.0922998 1.00513157 0.724706298 0.0408886514 0.687123215 -0.031473615
1750350587.855312500 35.5035255 -12.0203122 1.00029412 0.729764753 0.0854750478 0.67525208 -0.0645914096
1750350588.357812500 36.1131405 -11.9222787 1.00738463 0.745136103 0.0530596438 0.66364732 -0.0391036596
1750350588.855312500 36.7025475 -11.8741444 0.997942781 0.741600403 0.0652621905 0.665172815 -0.0575744283
1750350589.357812500 37.2825491 -11.7508611 1.00810971 0.748170207 0.0252351077 0.663004604 0.00542446306
1750350589.855312500 37.8177875 -11.7701017 1.02287801 0.745237292 0.090091793 0.658735613 -0.0507172471
1750350590.355312500 38.3830409 -11.636741 1.04877978 0.76031069 0.0871775661 0.643161718 -0.0258984579
1750350590.857812500 38.9592124 -11.5745043 1.05349106 0.749354719 0.077843971 0.657196849 -0.0223634223
1750350591.355312500 39.5326374 -11.4694042 1.04688905 0.738104894 0.0830224571 0.667479763 -0.052718142
1750350591.857812500 40.1280858 -11.3504323 1.04283135 0.733540299 0.0661626697 0.675970426 -0.0245990412
1750350592.355312500 40.7055508 -11.2399235 1.03260397 0.722466501 0.112675227 0.677421592 -0.0802896867
1750350592.857812500 41.2610622 -11.0779636 1.03219549 0.72927467 0.070434619 0.678507127 -0.0531554197
1750350593.355312500 41.808229 -10.9654561 1.02272451 0.724603584 0.104468081 0.676322575 -0.0813869774
1750350593.857812500 42.3572018 -10.8030654 1.04118652 0.744866133 0.0723997552 0.661998477 -0.0411185687
1750350594.355312500 42.9163306 -10.7550639 1.05291374 0.739742697 0.141745138 0.646040806 -0.123775341
1750350594.857812500 43.478425 -10.5353401 1.06297476 0.748746722 0.142271768 0.640909998 -0.0914957071
1750350595.355312500 44.0068167 -10.3723669 1.05861371 0.730930261 0.152837526 0.655340975 -0.113621527
1750350595.855312500 44.5143167 -10.1092322 1.06100153 0.743469816 0.103814289 0.657940331 -0.0599144955
1750350596.357812500 45.1218206 -9.93555912 1.06945571 0.745806791 0.0976143882 0.658276099 -0.0302694413
1750350596.855312500 45.75866 -9.74493631 1.06829971 0.743266589 0.0891740245 0.661595602 -0.0435204506
