#length of traj: 802.531
#time tx ty tz qx qy qz qw
1750349571.962812500 2.44902992e-07 -5.26313565e-08 3.66349535e-07 0.998083551 0.00126907243 -0.0208223026 0.0582584508
1750349572.462812500 -0.00119526021 -0.000534354606 -0.000534629386 0.998053715 0.000920861234 -0.0201112779 0.0590209389
1750349572.962812500 -0.00327543458 0.000256266588 -0.0030666441 0.998072906 0.00124655907 -0.0207683431 0.0584602175
1750349573.462812500 -0.00420797791 0.00142670423 -0.0061284897 0.998046503 0.000814777566 -0.0202290107 0.0591041474
1750349573.962812500 -0.0038679415 0.00214820464 -0.0067058347 0.998066897 0.00137641883 -0.0206352701 0.0586068197
1750349574.462812500 -0.00294868792 0.00344307307 -0.00722589903 0.998081401 0.000800128302 -0.02024993 0.0585048512
1750349574.962812500 -0.00317057516 0.00271223775 -0.00733342918 0.998081445 0.00105725561 -0.0202947492 0.0584844769
1750349575.462812500 -0.00285638557 -0.000395227429 -0.00695291469 0.998085312 0.00107768127 -0.0203584525 0.0583959023
1750349575.962812500 -0.00265435728 -0.00230665359 -0.00516381858 0.998067387 0.000949108536 -0.0201172799 0.0587867702
1750349576.462812500 -0.00407476624 -0.00237692629 -0.00328751556 0.998059327 0.00113536061 -0.020817543 0.0586764052
1750349576.962812500 -0.00460705612 -0.000520886219 -0.00306116352 0.998044235 0.000936870981 -0.0200511388 0.0592011794
1750349577.462812500 -0.00564799754 -0.000397296436 -0.00249744747 0.998037131 0.00127194145 -0.0208701366 0.0590313897
1750349577.962812500 -0.0042853552 -8.61335897e-05 -0.00204576731 0.998060657 0.00250935597 -0.0184787997 0.0593899129
1750349578.460312500 -0.0590375329 0.0934154703 0.0258914712 0.983073028 0.175696225 0.0365268819 0.0369329914
1750349578.962812500 -0.163693557 0.0733631742 0.176688524 0.893869246 0.276829642 0.310711051 -0.16679857
1750349579.460312500 -0.241349761 0.0820459401 0.179759206 0.809610988 0.210325753 0.49992901 -0.224419496
1750349579.965312500 -0.275133965 0.095026277 0.181559329 0.793084197 0.224793543 0.527080289 -0.206571268
1750349580.462812500 -0.309522033 0.142198428 0.18124534 0.795516015 0.191106365 0.562247076 -0.120461004
1750349580.962812500 -0.30911677 0.133116819 0.183079468 0.794135229 0.196138041 0.561467503 -0.1250334
1750349581.462812500 -0.306588068 0.137888424 0.183140647 0.799875233 0.191848448 0.556833673 -0.115455816
1750349581.962812500 -0.307859303 0.137470476 0.182267995 0.800207325 0.192255047 0.555889814 -0.117016019
1750349582.462812500 -0.314885704 0.143933495 0.181917433 0.796915537 0.193593751 0.561056221 -0.112530009
1750349582.965312500 -0.241574474 0.200521168 0.111667016 0.56718778 0.21531684 0.785114689 -0.124625861
1750349583.457812500 -0.194269569 0.293628734 0.517207281 0.545055908 0.180752824 0.817188473 -0.049451733
1750349583.967812500 -0.114926371 0.394776735 0.8446849 0.538508802 0.137454091 0.821915417 0.124778568
1750349584.462812500 0.0983152143 0.603391081 1.00876738 0.651194498 -0.0924226579 0.69249707 0.296397681
1750349584.957812500 0.337530393 0.60647719 0.97994954 0.627035699 -0.212058685 0.435786326 0.609875089
1750349585.460312500 0.10790875 0.448521973 1.06796847 0.730340074 -0.151128535 0.576922558 0.333052404
1750349585.965312500 0.1289803 0.363021401 1.16408832 0.800908309 -0.155730804 0.546851509 0.187742439
1750349586.465312500 0.113620331 0.358349335 1.11571378 0.753618123 -0.135244957 0.60456304 0.219709028
1750349586.962812500 0.0767801109 0.355592915 1.09949529 0.753841306 -0.0717450344 0.626830749 0.183464296
1750349587.465312500 0.0324667942 0.340903839 1.08172656 0.722622101 -0.0979573962 0.667612086 0.150052494
1750349587.962812500 0.0567480398 0.384985644 1.0723822 0.708476899 -0.152187028 0.64971153 0.229727053
1750349588.462812500 0.0518974444 0.354395555 1.10051336 0.714425789 -0.139480212 0.656516614 0.197805453
1750349588.962812500 0.0634522539 0.327593879 1.12727491 0.736092312 -0.0616009446 0.653091479 0.166868065
1750349589.462812500 0.000500337049 0.177969692 1.12805181 0.761170548 0.0771217324 0.643631102 -0.0202642432
1750349589.962812500 0.07083159 0.239020322 1.09750857 0.731708806 0.200448278 0.63838571 -0.129947671
1750349590.462812500 0.3158046 0.365697428 1.08947875 0.711836026 0.311693686 0.601952676 -0.183819188
1750349590.962812500 0.750880109 0.589116272 1.11348112 0.673658997 0.39392315 0.554827058 -0.288400836
1750349591.462812500 1.04526249 1.01215875 1.11540593 0.630175534 0.454321753 0.534541101 -0.332770722
1750349591.962812500 1.31978818 1.46045679 1.08214038 0.549219807 0.513330841 0.528323042 -0.394618568
1750349592.462812500 1.41934497 1.95991061 1.07059769 0.488468375 0.575667304 0.472649572 -0.45454173
1750349592.962812500 1.40591591 2.44289031 1.0516898 -0.414333119 -0.619308496 -0.43187456 0.508202143
1750349593.462812500 1.32671384 2.90916058 1.06313914 -0.248355253 -0.713650921 -0.266844369 0.598177326
1750349593.962812500 0.979169683 3.25315927 1.07383843 -0.167099185 -0.742082188 -0.215686907 0.612267137
1750349594.460312500 0.617065759 3.55379564 1.07579287 -0.150150352 -0.729833651 -0.178007031 0.64273728
1750349594.965312500 0.15335532 3.70765378 1.08497063 -0.252615392 -0.708663306 -0.257082981 0.606539466
1750349595.462812500 -0.222426291 3.91486335 1.06915408 -0.415965958 -0.615403312 -0.395560897 0.540169105
1750349595.962812500 -0.528089434 4.213183 1.08258518 0.611617248 0.443164422 0.55008211 -0.356285433
1750349596.462812500 -0.539270653 4.63201759 1.09958207 0.770572051 0.0696801924 0.633176157 -0.0212447691
1750349596.962812500 -0.111630095 4.73710655 1.10215068 0.744696603 -0.22838264 0.590222527 0.211909667
1750349597.462812500 0.388498325 4.53897885 1.09640847 0.670612873 -0.373870462 0.540531393 0.343984106
1750349597.962812500 0.675015802 4.09792565 1.09347815 0.644849782 -0.398523271 0.529249217 0.381107895
1750349598.462812500 0.976406562 3.62333774 1.08221097 0.629158491 -0.413626923 0.530979191 0.388758872
1750349598.962812500 1.21589742 3.12484062 1.06985683 0.607983538 -0.439293191 0.515163221 0.414709977
1750349599.460312500 1.40954774 2.59344602 1.04082897 0.600428791 -0.42626418 0.536154705 0.41270116
