#length of traj: 397.477
#time tx ty tz qx qy qz qw
1743777375.470312500 -1.99138859e-08 -3.84527264e-07 1.36766397e-06 0.999972901 2.22416696e-05 -0.00604135425 0.00420705802
1743777375.970312500 -0.000283214928 0.000586090241 -0.00479434956 0.999970044 -0.00022611149 -0.0065198679 0.00416560066
1743777376.470312500 -0.000773927503 0.00381933202 -0.0113871796 0.999974099 -0.000216697923 -0.00609770868 0.00381725432
1743777376.970312500 0.000171474135 0.00542175769 -0.016017396 0.999973131 7.79876016e-05 -0.00633557517 0.00368670953
1743777377.470312500 0.00128501611 0.00339924175 -0.0156094142 0.999975172 -0.000232079234 -0.00605755647 0.00359282492
1743777377.970312500 0.000788934357 0.00207211097 -0.0119943694 0.999973107 0.000181650564 -0.00623135632 0.00386296661
1743777378.470312500 -0.00102189254 0.00145395059 -0.00927258691 0.999972912 -0.000147764925 -0.00631143107 0.00378413337
1743777378.970312500 -0.00223244626 0.00232521668 -0.00941536934 0.999973072 0.000283215469 -0.0061266922 0.00402977107
1743777379.470312500 -0.00361331557 0.00160899529 -0.0119182649 0.999970417 -4.27306869e-05 -0.00662014236 0.00391612751
1743777379.970312500 -0.00262583489 0.000247681917 -0.0156603722 0.999971702 0.000363335577 -0.00606581669 0.00443503997
1743777380.470312500 -0.00115904031 0.00127166537 -0.0188950607 0.999974722 0.0021333981 -0.00565005394 0.0037524335
1743777380.970312500 0.101910171 0.0752979753 0.0411910356 0.992429344 0.0864262276 0.0818096298 -0.0303593204
1743777381.470312500 -0.0313574485 -0.010639687 0.181493563 0.863934802 0.113911811 0.430649231 -0.234908486
1743777381.970312500 -0.079318007 0.0370736913 0.177882727 0.851413481 0.108007523 0.484560821 -0.169204818
1743777382.467812500 -0.00776586756 0.00588207483 0.135811818 0.633437625 0.111171407 0.723103872 -0.252028736
1743777382.967812500 0.151005709 -0.0473348788 0.62480635 0.647780945 0.226082834 0.6677284 -0.288799554
1743777383.467812500 0.273291582 -0.0920904722 0.65343304 0.575159441 0.42456836 0.642423488 -0.276089455
1743777383.970312500 0.23731249 -0.0923812663 0.6138934 0.586943326 0.32341562 0.702564341 -0.2393809
1743777384.470312500 0.230059121 -0.0592909168 0.797627418 0.422300754 0.344311885 0.833089099 -0.095257291
1743777384.967812500 0.244855876 0.0363151165 1.02116506 0.628740275 0.345089779 0.672718055 0.181794196
1743777385.467812500 0.323677322 -0.0901190803 1.02846603 0.528878357 0.44643889 0.69693117 0.187794957
1743777385.975312500 0.319925739 -0.150684846 1.01321165 0.560792586 0.403559808 0.721998729 0.0369998995
1743777386.467812500 0.334467382 -0.0355347026 1.07273808 0.68310849 0.277258905 0.669127527 -0.093587623
1743777386.970312500 0.524898216 -0.244421378 1.13749696 0.681729061 0.419846257 0.53408355 -0.271531526
1743777387.472812500 0.618729844 -0.132126113 1.05918782 0.664584674 0.295957729 0.635786307 -0.257899216
1743777387.970312500 0.678401481 0.174341335 1.06419489 0.710807916 0.0753184786 0.699207692 -0.0137053182
1743777388.470312500 0.743134654 0.237534702 1.04885135 0.69119989 -0.0232725896 0.716962638 0.0875538395
1743777388.970312500 0.785322562 0.171939097 1.0701743 0.713984704 0.008153547 0.697020136 0.0657441355
1743777389.470312500 0.804029714 0.130032943 1.09537427 0.732177611 0.0327626079 0.679308292 0.0371860443
1743777389.972812500 0.823712338 0.15831994 1.17189139 0.768499483 0.0528588164 0.636928251 0.0306087118
1743777390.470312500 0.798094401 0.100412893 1.1534457 0.753978491 0.134674986 0.64261281 -0.0206847654
1743777390.970312500 0.803717715 -0.0158387506 1.14630979 0.726487369 0.212422835 0.636691022 -0.147367515
1743777391.470312500 0.777081121 0.0411779121 1.10070148 0.714792048 0.132449065 0.670806083 -0.146795002
1743777391.970312500 0.830019274 0.258934347 1.09731584 0.738007008 0.00856767776 0.674614104 0.012963879
1743777392.470312500 1.11401904 0.282589755 1.1070942 0.720981816 -0.185038082 0.651638172 0.145992538
1743777392.970312500 1.55630488 0.122885678 1.09478394 0.660929727 -0.351661215 0.595978763 0.290371486
1743777393.470312500 1.88046333 -0.273605366 1.08497653 0.60462056 -0.429118392 0.535151887 0.404850394
1743777393.970312500 2.04767061 -0.779740365 1.07666976 0.622963741 -0.401512146 0.551748526 0.382462728
1743777394.470312500 2.24779502 -1.30099796 1.06375912 0.611279382 -0.408550414 0.543185131 0.405430623
1743777394.970312500 2.35925944 -1.82761727 1.08286939 0.675327262 -0.321220179 0.588874439 0.306557629
1743777395.470312500 2.53792848 -2.24022995 1.08542975 0.721373722 -0.176586093 0.635786588 0.210268207
1743777395.970312500 2.74213628 -2.59527136 1.09394424 0.753620974 0.0725120824 0.653297236 0.00038209147
