#length of traj: 305.994
#time tx ty tz qx qy qz qw
1751234663.749042989 0 0 0 0.0191808667 -0.0860626522 0.00119305976 0.996104357
1751234664.251555392 0.000802147915 -0.00237559262 0.000935992668 0.0188015424 -0.0854129434 0.00283175323 0.996164199
1751234664.749056394 0.00563595331 -0.00288018238 -0.00500535116 0.0199091748 -0.0856560273 0.00139377035 0.996124855
1751234665.249070596 0.00443845077 -0.00572077919 -0.00649181479 0.0179124995 -0.0859613248 0.00255453597 0.996134161
1751234665.749096432 0.00459880518 -0.00364285699 -0.003566914 0.0201477532 -0.0857318339 0.00169183901 0.996113075
1751234666.274139034 0.000664846572 -0.00616897745 0.015776042 0.0177353289 -0.0851331212 0.00229452324 0.996209087
1751234666.749111473 -0.0138521185 -0.0530163909 0.0136634374 0.0207448626 -0.0839409749 0.00570182752 0.996238452
1751234667.259140957 -0.000988622264 -0.0437039147 -0.0094607674 0.0178382233 -0.0855334692 0.00201512778 0.996173561
1751234667.749126928 0.00686797941 -0.00368307973 -0.00313701578 0.0196538082 -0.0849096203 0.00260673606 0.996191392
1751234668.249114804 0.00770113292 0.0142083602 0.000339339331 0.0183512106 -0.0858979282 0.0011000275 0.996134313
1751234668.749136743 0.00554726924 0.0030533481 -0.000678554744 0.0187078032 -0.0853427302 0.0026290899 0.996172537
1751234669.249128087 0.00538799383 -0.00989872827 -0.00432187798 0.018902049 -0.085750911 0.000963109824 0.996136821
1751234669.749130435 0.0066919486 -0.00811665859 -0.00636262531 0.0141809919 -0.0851911724 0.000750831469 0.996263419
1751234670.249136870 -0.0309569572 0.0272926063 0.0523295683 0.113841673 -0.135280098 -0.0696372376 0.98177901
1751234670.749131653 -0.0313165744 0.137087148 0.246856813 0.056992721 -0.207055017 0.168049756 0.962101517
1751234671.254132851 -0.0904553982 0.147186327 0.32239704 0.0168938258 -0.18661617 0.213387676 0.958829862
1751234671.749141418 -0.134518385 0.102935294 0.410832448 0.0182696855 -0.124195063 0.264473171 0.956188133
1751234672.249156984 -0.156036844 0.063871659 0.759853145 0.0260326357 -0.135287022 0.230877345 0.963179825
1751234672.749158758 -0.251390997 0.0589008219 0.954864977 0.00523764746 -0.0894789677 0.106659455 0.990247364
1751234673.251645574 -0.177528561 0.0968365735 0.967136138 0.0216489328 -0.168692701 0.0636447187 0.983373503
1751234673.749169846 -0.0558833921 0.101222223 0.948665699 -0.0308124322 -0.146616265 -0.00183981322 0.988711727
1751234674.249175695 -0.00705445377 0.0786875933 0.963342532 0.0425148029 -0.10336795 -0.0739106058 0.990981726
1751234674.766655533 -0.0754565223 0.0678838511 0.956727165 0.00842210677 -0.171006473 -0.0727930726 0.982541105
1751234675.249213656 -0.0876927953 0.0620014742 0.952123928 0.0184351558 -0.164906887 -0.0407570813 0.985294232
1751234675.749205006 -0.0885036526 0.0547838004 0.963448878 0.0278432031 -0.176761236 -0.163463508 0.970185499
1751234676.249205799 -0.102998275 0.0633253852 0.9623008 0.0102043238 -0.166165867 -0.142039165 0.975761063
1751234676.749236581 -0.105158452 0.0557017942 0.960628188 0.0490951873 -0.130213284 -0.184185012 0.972990259
1751234677.249246699 -0.0897497385 0.0407051656 0.958389323 0.0376510637 -0.138062629 -0.147139439 0.978708891
1751234677.749205619 0.00383760377 0.0516867676 0.93754121 0.0706174831 -0.0922436486 -0.0517774285 0.991878711
1751234678.249204563 0.317634296 0.057202883 0.931451159 0.0273309728 -0.142373876 0.00868729022 0.989397407
1751234678.749240425 0.618583876 0.0628596762 0.953725176 0.0476905388 -0.0612176501 0.00525186053 0.996970626
1751234679.249237813 0.97730925 0.0446537257 0.957277695 0.00256248631 -0.163045821 0.0748866748 0.983769018
1751234679.749242553 1.30163305 0.147131629 0.947737647 0.0389005087 -0.0845159127 0.163003544 0.982228922
1751234680.251783150 1.57934317 0.271930175 0.937521304 0.0278019466 -0.0857587572 0.259694636 0.961473444
1751234680.744271666 1.85365701 0.463143116 0.94791842 0.0144617599 -0.074126042 0.5185491 0.851705946
1751234681.251768603 1.98011419 0.818858284 0.941547745 0.0496204878 -0.0432159281 0.662210634 0.746422982
1751234681.749320260 2.03866606 1.16018329 0.960656816 0.0493549545 -0.0255388903 0.698506915 0.71344232
1751234682.249237438 2.07777703 1.58670194 0.976686327 0.0613229964 -0.012845925 0.719378316 0.691787042
1751234682.749272277 2.06549049 2.00268873 0.94954226 0.0686391494 -0.0430165365 0.720091562 0.689134521
1751234683.249309454 2.07221629 2.39509458 0.939624354 0.0720497127 -0.04227771 0.704226239 0.705043856
1751234683.749269755 2.12753683 2.82433897 0.965234572 0.0841379121 -0.0607744397 0.709918293 0.696594069
1751234684.249291483 2.11159545 3.25028179 0.971136061 0.0925806768 -0.0404703415 0.704732918 0.702241044
1751234684.749326306 2.15772524 3.66850568 0.953044925 0.0925782821 -0.0458233831 0.707461565 0.699162079
1751234685.249300810 2.23837757 4.03752541 0.96200255 0.0676115874 -0.0371210502 0.706109151 0.703889599
1751234685.749287046 2.28616964 4.43124269 0.967505969 0.0930268752 -0.0357806299 0.69993417 0.707218428
1751234686.249315138 2.32296629 4.7926131 0.965330508 0.0805174945 -0.0579374287 0.753974081 0.649371444
1751234686.751821894 2.28866778 5.07938369 0.976513411 0.0824338093 -0.0435938577 0.831910805 0.547017966
1751234687.246811564 2.11080672 5.32947662 0.973705541 0.110653715 -0.0447686946 0.920438727 0.372215085
1751234687.751814991 1.89842 5.47300725 0.954579908 0.0775314752 -0.01526941 0.982503381 0.168649999
1751234688.249302951 1.64693259 5.60724135 0.965339673 0.0853181529 -0.000920594186 0.995642216 0.0376369893
1751234688.749328499 1.350847 5.63357572 0.9530053 0.0767351481 0.0163968844 0.996912023 -0.00304601121
1751234689.249327303 1.05044334 5.63251893 0.967022047 0.0892680418 0.0287832838 0.995591189 -0.000961338222
1751234689.749345275 0.728520773 5.65895733 0.968547761 0.0839539688 0.0109020295 0.993259496 -0.0791735469
1751234690.251882459 0.519229918 5.60025623 0.951133146 0.0703280872 0.02184582 0.978079577 -0.194774383
1751234690.746863902 0.315379721 5.41080868 0.960200902 0.0872203607 0.0458503811 0.926631386 -0.362828646
1751234691.251893891 0.199606585 5.21364579 0.957464459 -0.0527253999 -0.0509435932 -0.845909388 0.528263277
1751234691.746893852 0.0581415037 4.93929509 0.964251268 -0.0561411747 -0.0689906486 -0.752256527 0.652838859
1751234692.251867142 0.00621364264 4.67159509 0.939304598 -0.0431912659 -0.0636437483 -0.709797188 0.700194215
1751234692.749368783 0.015903165 4.33524684 0.959242645 -0.0610107134 -0.0852270425 -0.702520031 0.703903154
1751234693.249395246 -0.0195983461 3.93929883 0.941974952 -0.0589686054 -0.0686029378 -0.692038865 0.716169358
1751234693.749414065 -0.045380349 3.58870266 0.942664085 -0.0747235343 -0.0751136748 -0.676208843 0.72905139
1751234694.249370719 -0.0127279488 3.23442866 0.958713434 -0.0606119926 -0.0846494067 -0.686542554 0.7195971
1751234694.749392943 -0.0134544685 2.88527535 0.937958493 -0.0745979829 -0.098466198 -0.648246631 0.751342701
1751234695.249404282 0.0111045914 2.58339797 0.93882512 -0.0590546278 -0.0757806411 -0.584831068 0.805445509
1751234695.749370676 0.119973448 2.28164396 0.950815824 -0.0511623883 -0.0990381337 -0.532493662 0.839061594
1751234696.246890979 0.268694768 2.08974611 0.939912774 -0.0386610959 -0.0880618983 -0.38669961 0.9171771
1751234696.751914212 0.48361856 1.88987701 0.94746716 -0.0186203426 -0.0880913845 -0.20031686 0.97558513
1751234697.249453212 0.733311083 1.8034608 0.923105757 -0.00679703965 -0.0785240414 -0.093501873 0.992494421
1751234697.751949389 1.03560708 1.77042941 0.948895409 0.0107665889 -0.0842790504 -0.0951905134 0.991826541
1751234698.251952707 1.33104385 1.71476972 0.947469616 0.0200871255 -0.0909034499 -0.133175962 0.986710309
1751234698.749465275 1.54784448 1.62429467 0.945206238 0.0185576758 -0.0601621548 -0.269445864 0.960955282
1751234699.246963091 1.77155995 1.51498033 0.951669363 -0.00756993859 -0.0991202429 -0.489371218 0.866391185
1751234699.751972015 1.8597367 1.35808622 0.940284807 -0.0179778534 -0.0636547955 -0.633285135 0.771086767
1751234700.249459421 1.92366817 1.04547784 0.952094539 -0.051503879 -0.0917907928 -0.638191504 0.762648939
1751234700.749501640 2.02463295 0.727546039 0.934957638 -0.0539658033 -0.0849993101 -0.587967545 0.802593905
1751234701.249466777 2.16243504 0.419546512 0.952655836 -0.0268998737 -0.0787295873 -0.532636825 0.842244657
1751234701.749448969 2.26791627 0.0637435361 0.955770891 -0.0339159223 -0.0872174746 -0.503203328 0.859086278
1751234702.249483826 2.38095089 -0.226623745 0.938988053 -0.0136755822 -0.0672833765 -0.558556067 0.826620255
1751234702.749497734 2.53012081 -0.54014974 0.957035076 -0.0257753163 -0.0922923676 -0.649950717 0.753911014
1751234703.249495777 2.54041969 -0.901698193 0.944642131 -0.030502861 -0.0879508497 -0.72067293 0.686996908
1751234703.749487389 2.46087431 -1.1875138 0.934840466 -0.0447185729 -0.0654510384 -0.836512254 0.542184156
1751234704.251980647 2.35695451 -1.52178304 0.953520735 0.050788907 0.0622678182 0.890845357 -0.447143999
1751234704.749539302 2.12969201 -1.81159598 0.940914161 0.0603094531 0.0367240407 0.896137528 -0.438122866
1751234705.249535210 1.91971036 -2.05614416 0.93681568 0.0502953233 0.0368664108 0.886555153 -0.458400709
1751234705.749519926 1.73761029 -2.35905303 0.947469892 0.0741892272 0.0618180108 0.867927108 -0.487213534
1751234706.249540908 1.55629818 -2.6261558 0.934222205 -0.0649011198 -0.0480596111 -0.82834411 0.554368248
1751234706.749504976 1.38622103 -2.88498055 0.953777281 -0.0509162999 -0.0427682824 -0.786527284 0.613965175
1751234707.249525842 1.30238285 -3.20716627 0.939470321 -0.0666024814 -0.0602348841 -0.730334237 0.677161554
1751234707.749542067 1.31569879 -3.49728503 0.950001696 -0.0332188976 -0.0529271827 -0.64436488 0.762160823
1751234708.249556158 1.41140214 -3.83991832 0.952464611 -0.0371420939 -0.0853852042 -0.522857433 0.847319265
1751234708.749545525 1.55138852 -4.06972488 0.937584953 -0.017753099 -0.0611185521 -0.445633154 0.892950414
1751234709.249566490 1.78806438 -4.31359346 0.953721932 -0.00676044964 -0.0803428368 -0.400272934 0.912842211
1751234709.752084918 2.04110628 -4.56117051 0.947342653 -0.00773178005 -0.0760395238 -0.317207011 0.945271349
1751234710.249560633 2.2495925 -4.76078442 0.943004695 0.000925901664 -0.055588502 -0.292544435 0.954634388
1751234710.749573137 2.54389881 -4.93768761 0.950542255 0.0043314799 -0.0757344468 -0.329588038 0.941072397
1751234711.249592363 2.77308205 -5.09019805 0.940509527 0.0100610635 -0.0662817726 -0.372943949 0.925428718
1751234711.767096775 3.00823142 -5.27697302 0.962906428 -0.00108066196 -0.0858759937 -0.405645999 0.909986522
1751234712.249615091 3.17313909 -5.39816191 0.96947888 0.0109136302 -0.0612301341 -0.470642433 0.880129231
